日期,時段,狀態,備註
2026/7/1,07:00~09:00,啟動,
2026/7/1,15:00~22:00,啟動,
2026/7/2,全天,啟動,
2026/7/3,全天,啟動,
2026/7/4,全天,啟動,
2026/7/5,全天,啟動,
2026/7/6,全天,啟動,
2026/7/7,全天,啟動,
2026/7/8,全天,啟動,7:15 A3降階，無法回復。7:25全部降階。7:43重啟回AI。13:52 A3降階，無法回復。13:55全部降階。14:15重啟回AI。
2026/7/9,全天,啟動,
2026/7/10,全天,啟動,颱風
2026/7/11,,,颱風
2026/7/12,,,
2026/7/13,14:00~22:00,啟動,上午7:28疑似被外部操作斷開
2026/7/14,全天,啟動,
2026/7/15,全天,啟動,
2026/7/21,11:00~17:00,啟動,1700 被手操燈
2026/7/26,06:00~12:30,啟動,
2026/7/26,15:50~22:00,啟動,11:05 A5 降階2次無法回復，13:23全系統手動回到TOD。15:46全系統手動回到AI
2026/7/23,06:00~22:00,啟動,6-11 A5沒開
2026/7/24,11:00~18:00,啟動,17:53 A3 被外部斷開，無法手動回到AI
2026/7/25,06:00~22:00,啟動,13:07 A4 不明原因降階，13:15手動回到AI
