日期,時段,指標,系統,1 福德一路/上匝道,西向,東向,2 福德一路/下匝道,下匝道,東向,3 福德一路/和成路,西向,東向(車尾),東向(路口4照車尾),4 福德一路/和平路,和平路南向,福德西向,和平路北向,和強路東向(車尾),5 八德轉運站出入口,西向,東向,6 和強路/120巷,東向,7 和強路/延平路,延平路南向,和強路西向,延平路北向,和強路東向,10 和平路/富榮街,和平路南向,和平路北向,14 大安小學,和平路東向,路徑1,路徑2,路徑3,路徑4,平均旅行時間,加權平均旅行時間,加權平均旅行時間_含邊界_先加,加權平均旅行時間_含邊界_後加,總加權旅行時間,延平路->和平路 (往東),和平路-> 上匝道前 (往東),上匝道前-> 上匝道後 (往東),東匝入口-> 下匝道後 (往西),下匝道後-> 和平路 (往西),和平路-> 延平路 (往西),和平路口左轉-> 和平路704巷,大安國小-> 和平/和強路口,大安國小-> 右轉和強路上匝道前 (往北)
2026-06-10,06:30~20:30,總停等延滯,4093341.0,147951.0,61725.0,86226.0,129080.0,81062.0,48018.0,581422.0,254438.0,103639.0,223345.0,1674423.0,234156.0,738648.0,411021.0,290598.0,229449.0,10195.0,219254.0,199961.0,199961.0,869280.0,387532.0,173378.0,87522.0,220848.0,215684.0,69313.0,146371.0,46091.0,46091.0,nan,nan,319.5,269.3,-,-,-,-,-,-,117.2,52.0,53.6,134.2,-,135.1,199.1,69.0
2026-06-10,06:30~20:30,通過量,40980.0,12698.0,1847.0,10851.0,21521.0,10788.0,10733.0,66066.0,24234.0,22080.0,19752.0,47286.0,3630.0,21895.0,12103.0,9658.0,19280.0,10525.0,8755.0,9242.0,9242.0,24030.0,4384.0,10490.0,2445.0,6711.0,22857.0,11682.0,11175.0,9189.0,9189.0,0.0,0.0,11.3,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,06:30~20:30,平均停等延滯,99.9,11.7,33.4,7.9,6.0,7.5,4.5,8.8,10.5,4.7,11.3,35.4,64.5,33.7,34.0,30.1,11.9,1.0,25.0,21.6,21.6,36.2,88.4,16.5,35.8,32.9,9.4,5.9,13.1,5.0,5.0,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,07:00~21:00,總停等延滯,3953106.0,143520.0,62741.0,80779.0,127476.0,80948.0,46528.0,558114.0,255249.0,96758.0,206107.0,1638053.0,228610.0,733192.0,395264.0,280987.0,214313.0,10164.0,204149.0,180864.0,180864.0,837218.0,378442.0,173594.0,83224.0,201958.0,208226.0,67487.0,140739.0,45322.0,45322.0,nan,nan,316.0,274.5,-,-,-,-,-,-,119.3,51.4,56.4,132.1,-,142.4,196.9,68.2
2026-06-10,07:00~21:00,通過量,40472.0,12377.0,1889.0,10488.0,21148.0,10824.0,10324.0,64602.0,24369.0,21226.0,19007.0,46680.0,3580.0,22005.0,11844.0,9251.0,18976.0,10630.0,8346.0,8906.0,8906.0,23871.0,4370.0,10623.0,2364.0,6514.0,22712.0,11781.0,10931.0,9043.0,9043.0,0.0,0.0,11.4,11.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,07:00~21:00,平均停等延滯,97.7,11.6,33.2,7.7,6.0,7.5,4.5,8.6,10.5,4.6,10.8,35.1,63.9,33.3,33.4,30.4,11.3,1.0,24.5,20.3,20.3,35.1,86.6,16.3,35.2,31.0,9.2,5.7,12.9,5.0,5.0,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,06:30~08:30,總停等延滯,1030582.0,42411.0,3262.0,39149.0,35040.0,10289.0,24751.0,200101.0,49408.0,47468.0,103225.0,351602.0,54696.0,135326.0,83157.0,78423.0,78211.0,717.0,77494.0,82456.0,82456.0,196678.0,73341.0,11454.0,27100.0,84783.0,32426.0,5878.0,26548.0,11657.0,11657.0,nan,nan,604.1,356.4,-,-,-,-,-,-,257.2,154.6,39.6,244.8,-,111.6,277.2,168.4
2026-06-10,06:30~08:30,通過量,5620.0,1696.0,115.0,1581.0,2778.0,1179.0,1599.0,9487.0,2591.0,3659.0,3237.0,6288.0,547.0,2302.0,1696.0,1743.0,2506.0,989.0,1517.0,1458.0,1458.0,3098.0,647.0,925.0,541.0,985.0,2824.0,1218.0,1606.0,1472.0,1472.0,0.0,0.0,6.0,9.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,06:30~08:30,平均停等延滯,183.4,25.0,28.4,24.8,12.6,8.7,15.5,21.1,19.1,13.0,31.9,55.9,100.0,58.8,49.0,45.0,31.2,0.7,51.1,56.6,56.6,63.5,113.4,12.4,50.1,86.1,11.5,4.8,16.5,7.9,7.9,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,06:30~07:30,總停等延滯,451518.0,18690.0,1237.0,17453.0,8930.0,679.0,8251.0,75845.0,10686.0,19547.0,45612.0,158904.0,26231.0,56180.0,41338.0,35155.0,36621.0,408.0,36213.0,42330.0,42330.0,91984.0,32846.0,4096.0,12173.0,42869.0,16326.0,3919.0,12407.0,1888.0,1888.0,nan,nan,427.8,257.6,-,-,-,-,-,-,121.9,89.9,30.3,162.2,-,95.5,254.6,85.4
